Geographic Area,2017,2018,2019
"St. Clair County, Michigan",159005,159031,159128
"St. Joseph County, Michigan",60710,60912,60964
"Sanilac County, Michigan",41242,41192,41170
"Schoolcraft County, Michigan",8013,8044,8094
"Shiawassee County, Michigan",68400,68133,68122
"Tuscola County, Michigan",52815,52633,52245
"Van Buren County, Michigan",75303,75481,75677
"Washtenaw County, Michigan",368807,369483,367601
"Wayne County, Michigan",1757217,1754453,1749343
"Wexford County, Michigan",33234,33446,33631
"Aitkin County, Minnesota",15792,15887,15886
"Anoka County, Minnesota",350203,353441,356921
"Becker County, Minnesota",34082,34389,34423
"Beltrami County, Minnesota",46477,46735,47188
"Benton County, Minnesota",40135,40510,40889
"Big Stone County, Minnesota",5004,4990,4991
"Blue Earth County, Minnesota",66916,67378,67653
"Brown County, Minnesota",25172,25125,25008
"Carlton County, Minnesota",35509,35822,35871
"Carver County, Minnesota",102118,103533,105089
"Cass County, Minnesota",29324,29511,29779
"Chippewa County, Minnesota",11944,11901,11800
"Chisago County, Minnesota",55257,55972,56579
"Clay County, Minnesota",63766,64017,64222
"Clearwater County, Minnesota",8845,8815,8818
"Cook County, Minnesota",5411,5425,5463
"Cottonwood County, Minnesota",11249,11259,11196
"Crow Wing County, Minnesota",64278,64794,65055
"Dakota County, Minnesota",421518,425040,429021
"Dodge County, Minnesota",20696,20767,20934
"Douglas County, Minnesota",37520,37960,38141
"Faribault County, Minnesota",13768,13736,13653
"Fillmore County, Minnesota",20980,21044,21067
"Freeborn County, Minnesota",30582,30480,30281
"Goodhue County, Minnesota",46307,46299,46340
"Grant County, Minnesota",5916,5989,5972
"Hennepin County, Minnesota",1247847,1257925,1265843
"Houston County, Minnesota",18677,18572,18600
"Hubbard County, Minnesota",20965,21291,21491
"Isanti County, Minnesota",39543,39950,40596
"Itasca County, Minnesota",45088,45051,45130
"Jackson County, Minnesota",9965,9895,9846
"Kanabec County, Minnesota",16060,16246,16337
"Kandiyohi County, Minnesota",42778,42910,43199
"Kittson County, Minnesota",4261,4268,4298
"Koochiching County, Minnesota",12506,12431,12229
"Lac qui Parle County, Minnesota",6683,6664,6623
"Lake County, Minnesota",10493,10610,10641
"Lake of the Woods County, Minnesota",3727,3737,3740
"Le Sueur County, Minnesota",28210,28588,28887
"Lincoln County, Minnesota",5665,5668,5639
"Lyon County, Minnesota",25929,25583,25474
"McLeod County, Minnesota",35876,35827,35893
"Mahnomen County, Minnesota",5567,5497,5527
"Marshall County, Minnesota",9361,9383,9336
"Martin County, Minnesota",19866,19772,19683
"Meeker County, Minnesota",23047,23145,23222
"Mille Lacs County, Minnesota",25861,26100,26277
"Morrison County, Minnesota",33084,33158,33386
"Mower County, Minnesota",39773,40142,40062
"Murray County, Minnesota",8332,8254,8194
"Nicollet County, Minnesota",34052,34199,34274
"Nobles County, Minnesota",21671,21744,21629
"Norman County, Minnesota",6589,6479,6375
"Olmsted County, Minnesota",154727,156358,158293
"Otter Tail County, Minnesota",58219,58670,58746
"Pennington County, Minnesota",14178,14173,14119
"Pine County, Minnesota",29159,29468,29579
"Pipestone County, Minnesota",9157,9127,9126
"Polk County, Minnesota",31637,31411,31364
"Pope County, Minnesota",10988,11095,11249
"Ramsey County, Minnesota",544886,548872,550321
"Red Lake County, Minnesota",4009,3992,4055
"Redwood County, Minnesota",15244,15252,15170
"Renville County, Minnesota",14693,14609,14548
"Rice County, Minnesota",66196,66566,66972
"Rock County, Minnesota",9459,9401,9315
"Roseau County, Minnesota",15305,15158,15165
"St. Louis County, Minnesota",199778,199685,199070
"Scott County, Minnesota",145535,147191,149013
"Sherburne County, Minnesota",94476,95957,97238
"Sibley County, Minnesota",14899,14997,14865
"Stearns County, Minnesota",158301,159656,161075
"Steele County, Minnesota",36787,36738,36649
"Stevens County, Minnesota",9706,9752,9805
"Swift County, Minnesota",9387,9323,9266
"Todd County, Minnesota",24526,24570,24664
"Traverse County, Minnesota",3304,3291,3259
"Wabasha County, Minnesota",21590,21645,21627
"Wadena County, Minnesota",13647,13723,13682
"Waseca County, Minnesota",18713,18664,18612
"Washington County, Minnesota",255464,258899,262440
"Watonwan County, Minnesota",10934,11007,10897
"Wilkin County, Minnesota",6322,6244,6207
"Winona County, Minnesota",50718,50735,50484
"Wright County, Minnesota",134205,136313,138377
"Yellow Medicine County, Minnesota",9836,9799,9709
"Adams County, Mississippi",31462,31044,30693
"Alcorn County, Mississippi",37165,36810,36953
"Amite County, Mississippi",12448,12327,12297
"Attala County, Mississippi",18467,18328,18174
"Benton County, Mississippi",8255,8243,8259
"Bolivar County, Mississippi",31718,31115,30628
"Calhoun County, Mississippi",14508,14432,14361
"Carroll County, Mississippi",10094,9920,9947
"Chickasaw County, Mississippi",17144,17100,17103
"Choctaw County, Mississippi",8240,8265,8210
"Claiborne County, Mississippi",9026,9072,8988
"Clarke County, Mississippi",15805,15585,15541
"Clay County, Mississippi",19621,19404,19316
"Coahoma County, Mississippi",23214,22605,22124
"Copiah County, Mississippi",28528,28400,28065
"Covington County, Mississippi",19014,18825,18636
"DeSoto County, Mississippi",179005,181932,184945
"Forrest County, Mississippi",75155,74912,74897
"Franklin County, Mississippi",7754,7758,7713
"George County, Mississippi",23951,24110,24500
"Greene County, Mississippi",13529,13996,13586
"Grenada County, Mississippi",21037,20984,20758
"Hancock County, Mississippi",46949,47278,47632
"Harrison County, Mississippi",204966,206284,208080
"Hinds County, Mississippi",239929,235824,231840
"Holmes County, Mississippi",17849,17444,17010
"Humphreys County, Mississippi",8333,8256,8064
"Issaquena County, Mississippi",1341,1307,1327
"Itawamba County, Mississippi",23499,23461,23390
"Jackson County, Mississippi",142246,143127,143617
"Jasper County, Mississippi",16574,16425,16383
"Jefferson County, Mississippi",7227,7093,6990
"Jefferson Davis County, Mississippi",11284,11215,11128
"Jones County, Mississippi",68364,68196,68098
"Kemper County, Mississippi",10093,9733,9742
"Lafayette County, Mississippi",54178,53542,54019
"Lamar County, Mississippi",61536,62637,63343
"Lauderdale County, Mississippi",76309,75238,74125
"Lawrence County, Mississippi",12629,12448,12586
"Leake County, Mississippi",22819,22791,22786
"Lee County, Mississippi",85071,85276,85436
"Leflore County, Mississippi",29292,28616,28183
"Lincoln County, Mississippi",34340,34210,34153
"Lowndes County, Mississippi",59147,58760,58595
"Madison County, Mississippi",104584,105648,106272
"Marion County, Mississippi",25108,24752,24573
"Marshall County, Mississippi",35590,35436,35294
"Monroe County, Mississippi",35851,35543,35252
"Montgomery County, Mississippi",10143,9994,9775
"Neshoba County, Mississippi",29435,29151,29118
"Newton County, Mississippi",21396,21355,21018
"Noxubee County, Mississippi",10711,10550,10417
"Oktibbeha County, Mississippi",49678,49249,49587
"Panola County, Mississippi",34158,34156,34192
"Pearl River County, Mississippi",55255,55323,55535
"Perry County, Mississippi",12014,11918,11973
"Pike County, Mississippi",39510,39380,39288
"Pontotoc County, Mississippi",31709,31881,32174
"Prentiss County, Mississippi",25215,25088,25126
"Quitman County, Mississippi",7208,7055,6792
"Rankin County, Mississippi",152904,154250,155271
"Scott County, Mississippi",28436,28319,28124
"Sharkey County, Mississippi",4415,4375,4321
"Simpson County, Mississippi",26905,26717,26658
"Smith County, Mississippi",16073,16029,15916
"Stone County, Mississippi",18593,17997,18336
"Sunflower County, Mississippi",26142,26211,25110
"Tallahatchie County, Mississippi",14094,13961,13809
"Tate County, Mississippi",28581,28347,28321
"Tippah County, Mississippi",21953,22039,22015
"Tishomingo County, Mississippi",19518,19383,19383
"Tunica County, Mississippi",9984,9922,9632
"Union County, Mississippi",28486,28615,28815
"Walthall County, Mississippi",14505,14436,14286
"Warren County, Mississippi",46682,46093,45381
"Washington County, Mississippi",46197,45036,43909
"Wayne County, Mississippi",20430,20296,20183
"Webster County, Mississippi",9732,9788,9689
"Wilkinson County, Mississippi",8855,8781,8630
"Winston County, Mississippi",18237,18164,17955
"Yalobusha County, Mississippi",12449,12361,12108
"Yazoo County, Mississippi",28659,29093,29690
"Adair County, Missouri",25429,25476,25343
"Andrew County, Missouri",17474,17662,17712
"Atchison County, Missouri",5243,5183,5143
"Audrain County, Missouri",25590,25423,25388
"Barry County, Missouri",35631,35712,35789
"Barton County, Missouri",11793,11790,11754
"Bates County, Missouri",16293,16304,16172
"Benton County, Missouri",19072,19297,19443
"Bollinger County, Missouri",12280,12189,12133
"Boone County, Missouri",178012,179061,180463
"Buchanan County, Missouri",88660,88163,87364
"Butler County, Missouri",42618,42587,42478
"Caldwell County, Missouri",9059,9071,9020
"Callaway County, Missouri",44982,44954,44743
"Camden County, Missouri",45473,45913,46305
"Cape Girardeau County, Missouri",78261,78638,78871
"Carroll County, Missouri",8779,8726,8679
"Carter County, Missouri",6179,6083,5982
"Cass County, Missouri",103477,104769,105780
"Cedar County, Missouri",14070,14136,14349
"Chariton County, Missouri",7457,7457,7426
"Christian County, Missouri",85392,87044,88595
"Clark County, Missouri",6720,6833,6797
"Clay County, Missouri",242527,246360,249948
"Clinton County, Missouri",20551,20435,20387
"Cole County, Missouri",76632,76720,76745
"Cooper County, Missouri",17647,17626,17709
"Crawford County, Missouri",24107,23968,23920
"Dade County, Missouri",7586,7564,7561
"Dallas County, Missouri",16699,16782,16878
"Daviess County, Missouri",8358,8334,8278
"DeKalb County, Missouri",12532,12515,12547
"Dent County, Missouri",15497,15547,15573
"Douglas County, Missouri",13276,13359,13185
"Dunklin County, Missouri",30121,29478,29131
"Franklin County, Missouri",103315,103716,103967
"Gasconade County, Missouri",14683,14680,14706
"Gentry County, Missouri",6634,6598,6571
"Greene County, Missouri",289512,291054,293086
"Grundy County, Missouri",9991,9975,9850
"Harrison County, Missouri",8506,8394,8352
"Henry County, Missouri",21695,21808,21824
"Hickory County, Missouri",9395,9458,9544
"Holt County, Missouri",4407,4412,4403
"Howard County, Missouri",10066,10059,10001
"Howell County, Missouri",40074,40126,40117
"Iron County, Missouri",10181,10187,10125
"Jackson County, Missouri",698072,700784,703011
"Jasper County, Missouri",120048,120455,121328
"Jefferson County, Missouri",223769,224410,225081
"Johnson County, Missouri",53735,53621,54062
"Knox County, Missouri",3970,3965,3959
"Laclede County, Missouri",35418,35596,35723
"Lafayette County, Missouri",32579,32542,32708
"Lawrence County, Missouri",38256,38264,38355
"Lewis County, Missouri",9952,9839,9776
"Lincoln County, Missouri",56045,57613,59013
"Linn County, Missouri",12168,12039,11920
"Livingston County, Missouri",15157,15181,15227
"McDonald County, Missouri",22722,22963,22837
"Macon County, Missouri",15262,15167,15117
"Madison County, Missouri",12230,12188,12088
"Maries County, Missouri",8790,8770,8697
"Marion County, Missouri",28585,28540,28530
"Mercer County, Missouri",3656,3626,3617
"Miller County, Missouri",25202,25315,25619
"Mississippi County, Missouri",13594,13394,13180
"Moniteau County, Missouri",16047,16186,16132
"Monroe County, Missouri",8596,8636,8644
"Montgomery County, Missouri",11378,11488,11551
"Morgan County, Missouri",20162,20414,20627
"New Madrid County, Missouri",17544,17272,17076
"Newton County, Missouri",58191,58158,58236
"Nodaway County, Missouri",22401,22223,22092
"Oregon County, Missouri",10553,10558,10529
"Osage County, Missouri",13658,13652,13615
"Ozark County, Missouri",9227,9070,9174
"Pemiscot County, Missouri",16783,16256,15805
"Perry County, Missouri",19262,19274,19136
"Pettis County, Missouri",42445,42441,42339
"Phelps County, Missouri",44551,44551,44573
"Pike County, Missouri",18557,18502,18302
"Platte County, Missouri",101141,102764,104418
"Polk County, Missouri",31742,32214,32149
"Pulaski County, Missouri",51862,51997,52607
"Putnam County, Missouri",4778,4748,4696
"Ralls County, Missouri",10226,10234,10309
"Randolph County, Missouri",24899,24732,24748
"Ray County, Missouri",22877,22945,23018
"Reynolds County, Missouri",6260,6282,6270
"Ripley County, Missouri",13565,13420,13288
"St. Charles County, Missouri",395130,398780,402022
"St. Clair County, Missouri",9365,9389,9397
"Ste Genevieve County, Missouri",17792,17877,17894
"St. Francois County, Missouri",66674,66737,67215
"St. Louis County, Missouri",996227,995219,994205
"Saline County, Missouri",22910,22890,22761
"Schuyler County, Missouri",4518,4594,4660
"Scotland County, Missouri",4948,4938,4902
"Scott County, Missouri",38576,38541,38280
"Shannon County, Missouri",8235,8189,8166
"Shelby County, Missouri",5995,5997,5930
"Stoddard County, Missouri",29364,29264,29025
"Stone County, Missouri",31642,31701,31952
"Sullivan County, Missouri",6212,6233,6089
"Taney County, Missouri",55100,55719,55928
"Texas County, Missouri",25650,25506,25398
"Vernon County, Missouri",20507,20492,20563
"Warren County, Missouri",34448,34766,35649
"Washington County, Missouri",24994,24933,24730
"Wayne County, Missouri",13303,13132,12873
"Webster County, Missouri",38745,39179,39592
"Worth County, Missouri",2041,2026,2013
"Wright County, Missouri",18210,18187,18289
"St. Louis city, Missouri",308233,303419,300576
"Beaverhead County, Montana",9450,9412,9453
"Big Horn County, Montana",13483,13365,13319
"Blaine County, Montana",6745,6774,6681
"Broadwater County, Montana",5917,6072,6237
"Carbon County, Montana",10680,10691,10725
"Carter County, Montana",1223,1230,1252
"Cascade County, Montana",81633,81688,81366
"Chouteau County, Montana",5732,5740,5635
"Custer County, Montana",11726,11592,11402
"Daniels County, Montana",1722,1729,1690
"Dawson County, Montana",8952,8680,8613
"Deer Lodge County, Montana",9100,9129,9140
"Fallon County, Montana",3004,2912,2846
"Fergus County, Montana",11281,11117,11050
"Flathead County, Montana",100091,102017,103806
"Gallatin County, Montana",108576,111682,114434
"Garfield County, Montana",1281,1257,1258
"Glacier County, Montana",13732,13828,13753
"Golden Valley County, Montana",817,822,821
"Granite County, Montana",3356,3371,3379
"Hill County, Montana",16469,16342,16484
"Jefferson County, Montana",11921,12094,12221
"Judith Basin County, Montana",1945,1946,2007
"Lake County, Montana",30221,30220,30458
"Lewis and Clark County, Montana",67850,68622,69432
"Liberty County, Montana",2407,2416,2337
"Lincoln County, Montana",19556,19797,19980
"McCone County, Montana",1698,1669,1664
"Madison County, Montana",8291,8530,8600
"Meagher County, Montana",1852,1857,1862
"Mineral County, Montana",4235,4307,4397
"Missoula County, Montana",117834,118640,119600
"Musselshell County, Montana",4632,4632,4633
"Park County, Montana",16386,16648,16606
"Petroleum County, Montana",512,512,487
"Phillips County, Montana",4113,4060,3954
"Pondera County, Montana",5968,5960,5911
"Powder River County, Montana",1750,1720,1682
"Powell County, Montana",6789,6953,6890
"Prairie County, Montana",1099,1070,1077
"Ravalli County, Montana",42524,43166,43806
"Richland County, Montana",11027,10855,10803
"Roosevelt County, Montana",11160,11069,11004
"Rosebud County, Montana",9205,9040,8937
"Sanders County, Montana",11689,11847,12113
"Sheridan County, Montana",3471,3386,3309
"Silver Bow County, Montana",34811,34739,34915
"Stillwater County, Montana",9419,9483,9642
"Sweet Grass County, Montana",3676,3703,3737
"Teton County, Montana",6091,6117,6147
"Toole County, Montana",4860,4835,4736
"Treasure County, Montana",673,673,696
"Valley County, Montana",7402,7406,7396
"Wheatland County, Montana",2161,2184,2126
"Wibaux County, Montana",1018,1030,969
"Yellowstone County, Montana",159266,160029,161300
"Adams County, Nebraska",31808,31514,31363
"Antelope County, Nebraska",6341,6308,6298
"Arthur County, Nebraska",455,462,463
"Banner County, Nebraska",726,725,745
"Blaine County, Nebraska",479,480,465
"Boone County, Nebraska",5320,5241,5192
"Box Butte County, Nebraska",10835,10733,10783
"Boyd County, Nebraska",1955,1950,1919
"Brown County, Nebraska",3000,2967,2955
"Buffalo County, Nebraska",49350,49352,49659
"Burt County, Nebraska",6531,6486,6459
"Butler County, Nebraska",8032,8043,8016
"Cass County, Nebraska",25935,26189,26248
"Cedar County, Nebraska",8515,8453,8402
"Chase County, Nebraska",3928,3937,3924
"Cherry County, Nebraska",5790,5763,5689
"Cheyenne County, Nebraska",9644,9282,8910
"Clay County, Nebraska",6186,6202,6203
"Colfax County, Nebraska",10700,10734,10709
"Cuming County, Nebraska",8947,8935,8846
"Custer County, Nebraska",10869,10830,10777
"Dakota County, Nebraska",20010,20002,20026
"Dawes County, Nebraska",8888,8705,8589
"Dawson County, Nebraska",23657,23744,23595
"Deuel County, Nebraska",1861,1821,1794
"Dixon County, Nebraska",5746,5700,5636
"Dodge County, Nebraska",36789,36725,36565
"Douglas County, Nebraska",560733,566391,571327
"Dundy County, Nebraska",1783,1764,1693
"Fillmore County, Nebraska",5561,5535,5462
"Franklin County, Nebraska",2974,3013,2979
"Frontier County, Nebraska",2623,2600,2627
"Furnas County, Nebraska",4763,4701,4676
"Gage County, Nebraska",21621,21495,21513
"Garden County, Nebraska",1890,1890,1837
"Garfield County, Nebraska",1986,1974,1969
"Gosper County, Nebraska",2028,1996,1990
"Grant County, Nebraska",649,657,623
"Greeley County, Nebraska",2363,2355,2356
"Hall County, Nebraska",61201,61286,61353
"Hamilton County, Nebraska",9194,9260,9324
"Harlan County, Nebraska",3415,3386,3380
"Hayes County, Nebraska",893,917,922
"Hitchcock County, Nebraska",2806,2801,2762
"Holt County, Nebraska",10182,10148,10067
"Hooker County, Nebraska",666,676,682
"Howard County, Nebraska",6396,6457,6445
"Jefferson County, Nebraska",7176,7098,7046
"Johnson County, Nebraska",5169,5115,5071
"Kearney County, Nebraska",6492,6539,6495
"Keith County, Nebraska",8070,8003,8034
"Keya Paha County, Nebraska",790,806,806
"Kimball County, Nebraska",3568,3578,3632
"Knox County, Nebraska",8439,8405,8332
"Lancaster County, Nebraska",313772,316527,319090
"Lincoln County, Nebraska",35265,35148,34914
"Logan County, Nebraska",765,755,748
"Loup County, Nebraska",604,617,664
"McPherson County, Nebraska",493,490,494
"Madison County, Nebraska",35132,35189,35099
"Merrick County, Nebraska",7859,7733,7755
"Morrill County, Nebraska",4796,4674,4642
"Nance County, Nebraska",3561,3506,3519
"Nemaha County, Nebraska",6957,6957,6972
"Nuckolls County, Nebraska",4269,4207,4148
"Otoe County, Nebraska",15956,15983,16012
"Pawnee County, Nebraska",2621,2623,2613
"Perkins County, Nebraska",2886,2902,2891
"Phelps County, Nebraska",9050,9006,9034
"Pierce County, Nebraska",7093,7145,7148
"Platte County, Nebraska",33231,33287,33470
"Polk County, Nebraska",5309,5240,5213
"Red Willow County, Nebraska",10760,10705,10724
"Richardson County, Nebraska",7971,7938,7865
"Rock County, Nebraska",1420,1351,1357
"Saline County, Nebraska",14365,14336,14224
"Sarpy County, Nebraska",181376,184062,187196
"Saunders County, Nebraska",21032,21274,21578
"Scotts Bluff County, Nebraska",36160,35925,35618
"Seward County, Nebraska",17203,17273,17284
"Sheridan County, Nebraska",5268,5189,5246
"Sherman County, Nebraska",3074,3044,3001
"Sioux County, Nebraska",1195,1186,1166
"Stanton County, Nebraska",5974,5970,5920
"Thayer County, Nebraska",5034,5039,5003
"Thomas County, Nebraska",722,714,722
"Thurston County, Nebraska",7196,7274,7224
"Valley County, Nebraska",4227,4197,4158
"Washington County, Nebraska",20328,20617,20729
"Wayne County, Nebraska",9213,9318,9385
"Webster County, Nebraska",3505,3534,3487
"Wheeler County, Nebraska",815,802,783
"York County, Nebraska",13762,13748,13679
"Churchill County, Nevada",24021,24506,24909
"Clark County, Nevada",2181635,2226115,2266715
"Douglas County, Nevada",48030,48489,48905
"Elko County, Nevada",52357,52539,52778
"Esmeralda County, Nevada",843,827,873
"Eureka County, Nevada",1946,1998,2029
"Humboldt County, Nevada",16719,16778,16831
"Lander County, Nevada",5579,5547,5532
"Lincoln County, Nevada",5191,5237,5183
"Lyon County, Nevada",53895,55813,57510
"Mineral County, Nevada",4455,4544,4505
"Nye County, Nevada",43977,45186,46523
"Pershing County, Nevada",6469,6685,6725
"Storey County, Nevada",3976,3981,4123
"Washoe County, Nevada",456629,464354,471519
"White Pine County, Nevada",9651,9540,9580
"Carson City, Nevada",54532,55202,55916
"Belknap County, New Hampshire",60872,61145,61303
"Carroll County, New Hampshire",48132,48754,48910
"Cheshire County, New Hampshire",75963,75901,76085
"Coos County, New Hampshire",31396,31486,31563
"Grafton County, New Hampshire",89853,89701,89886
"Hillsborough County, New Hampshire",413204,414630,417025
"Merrimack County, New Hampshire",149830,150650,151391
"Rockingham County, New Hampshire",306669,308287,309769
"Strafford County, New Hampshire",129841,129797,130633
"Sullivan County, New Hampshire",43027,43114,43146
"Atlantic County, New Jersey",265498,263989,263670
"Bergen County, New Jersey",932420,932816,932202
"Burlington County, New Jersey",445610,444745,445349
"Camden County, New Jersey",506224,506353,506471
"Cape May County, New Jersey",93129,92446,92039
"Cumberland County, New Jersey",151423,150635,149527
"Essex County, New Jersey",796349,798570,798975
"Gloucester County, New Jersey",290961,291525,291636
"Hudson County, New Jersey",672826,671931,672391
"Hunterdon County, New Jersey",124712,124807,124371
"Mercer County, New Jersey",368168,368188,367430
"Middlesex County, New Jersey",827363,826172,825062
"Monmouth County, New Jersey",621990,620459,618795
"Morris County, New Jersey",493920,493070,491845
"Ocean County, New Jersey",595424,601478,607186
"Passaic County, New Jersey",504402,503183,501826
"Salem County, New Jersey",62883,62746,62385
"Somerset County, New Jersey",330573,330181,328934
"Sussex County, New Jersey",141197,140801,140488
"Union County, New Jersey",554738,556402,556341
"Warren County, New Jersey",105715,105528,105267
"Bernalillo County, New Mexico",678203,678034,679121
"Catron County, New Mexico",3553,3554,3527
"Chaves County, New Mexico",65080,64554,64615
"Cibola County, New Mexico",26921,26766,26675
"Colfax County, New Mexico",12151,12071,11941
"Curry County, New Mexico",49794,49338,48954
"De Baca County, New Mexico",1805,1779,1748
"Doña Ana County, New Mexico",216174,217278,218195
"Eddy County, New Mexico",57108,57729,58460
"Grant County, New Mexico",27642,27303,26998
"Guadalupe County, New Mexico",4410,4334,4300
"Harding County, New Mexico",684,650,625
"Hidalgo County, New Mexico",4298,4231,4198
"Lea County, New Mexico",69046,69543,71070
"Lincoln County, New Mexico",19468,19518,19572
"Los Alamos County, New Mexico",18742,18988,19369
"Luna County, New Mexico",24100,23877,23709
"McKinley County, New Mexico",72423,71911,71367
"Mora County, New Mexico",4530,4487,4521
"Otero County, New Mexico",66121,66659,67490
"Quay County, New Mexico",8299,8242,8253
"Rio Arriba County, New Mexico",39235,39023,38921
"Roosevelt County, New Mexico",18900,18759,18500
"Sandoval County, New Mexico",142689,145096,146748
"San Juan County, New Mexico",126917,125499,123958
"San Miguel County, New Mexico",27715,27480,27277
"Santa Fe County, New Mexico",149491,149761,150358
"Sierra County, New Mexico",11064,10949,10791
"Socorro County, New Mexico",16832,16704,16637
"Taos County, New Mexico",32790,32699,32723
"Torrance County, New Mexico",15535,15512,15461
"Union County, New Mexico",4180,4108,4059
"Valencia County, New Mexico",75884,76305,76688
"Albany County, New York",307717,306585,305506
"Allegany County, New York",46639,46332,46091
"Bronx County, New York",1440625,1432087,1418207
"Broome County, New York",193100,191925,190488
"Cattaraugus County, New York",77176,76726,76117
"Cayuga County, New York",77457,77121,76576
"Chautauqua County, New York",128372,127472,126903
"Chemung County, New York",84736,83935,83456
"Chenango County, New York",47805,47445,47207
"Clinton County, New York",80531,80679,80485
"Columbia County, New York",60338,59785,59461
"Cortland County, New York",47815,47722,47581
"Delaware County, New York",45028,44526,44135
"Dutchess County, New York",293545,293939,294218
"Erie County, New York",919034,919717,918702
"Essex County, New York",37487,37288,36885
"Franklin County, New York",50465,50279,50022
"Fulton County, New York",53802,53633,53383
"Genesee County, New York",57798,57487,57280
"Greene County, New York",47442,47381,47188
"Hamilton County, New York",4471,4432,4416
"Herkimer County, New York",62163,61713,61319
"Jefferson County, New York",113157,111866,109834
"Kings County, New York",2594676,2578074,2559903
"Lewis County, New York",26605,26486,26296
"Livingston County, New York",63483,63213,62914
"Madison County, New York",70942,71117,70941
"Monroe County, New York",742724,742864,741770
"Montgomery County, New York",49163,49394,49221
"Nassau County, New York",1357293,1357534,1356924
"New York County, New York",1630698,1629055,1628706
"Niagara County, New York",210848,210060,209281
"Oneida County, New York",230011,229474,228671
"Onondaga County, New York",461795,461649,460528
"Ontario County, New York",109538,109738,109777
"Orange County, New York",379758,382126,384940
"Orleans County, New York",40786,40655,40352
"Oswego County, New York",118427,117515,117124
"Otsego County, New York",59920,59810,59493
"Putnam County, New York",98856,98814,98320
"Queens County, New York",2295808,2274605,2253858
"Rensselaer County, New York",159200,159283,158714
"Richmond County, New York",475671,476260,476143
"Rockland County, New York",324622,325522,325789
"St. Lawrence County, New York",108699,108327,107740
"Saratoga County, New York",229276,230170,229863
"Schenectady County, New York",154710,155079,155299
"Schoharie County, New York",31255,31146,30999
"Schuyler County, New York",17913,17884,17807
"Seneca County, New York",34246,34179,34016
"Steuben County, New York",96360,95860,95379
"Suffolk County, New York",1483358,1480830,1476601
"Sullivan County, New York",74994,75399,75432
"Tioga County, New York",48609,48441,48203
"Tompkins County, New York",102664,102419,102180
"Ulster County, New York",178635,178418,177573
"Warren County, New York",64365,64215,63944
"Washington County, New York",61559,61274,61204
"Wayne County, New York",90429,90200,89918
"Westchester County, New York",969689,968213,967506
"Wyoming County, New York",40282,40023,39859
"Yates County, New York",25002,24951,24913
"Alamance County, North Carolina",163276,166514,169509
"Alexander County, North Carolina",37143,37331,37497
"Alleghany County, North Carolina",10988,11138,11137
"Anson County, North Carolina",24829,24470,24446
"Ashe County, North Carolina",26787,27099,27203
"Avery County, North Carolina",17517,17528,17557
"Beaufort County, North Carolina",47033,47056,46994
"Bertie County, North Carolina",19263,19106,18947
"Bladen County, North Carolina",33443,33151,32722
"Brunswick County, North Carolina",130859,136880,142820
"Buncombe County, North Carolina",257071,259259,261191
"Burke County, North Carolina",90157,90405,90485
"Cabarrus County, North Carolina",206988,211597,216453
"Caldwell County, North Carolina",81933,82026,82178
"Camden County, North Carolina",10532,10676,10867
"Carteret County, North Carolina",68921,69438,69473
"Caswell County, North Carolina",22616,22634,22604
"Catawba County, North Carolina",157852,158687,159551
"Chatham County, North Carolina",71189,73127,74470
"Cherokee County, North Carolina",27954,28369,28612
"Chowan County, North Carolina",14029,14065,13943
"Clay County, North Carolina",11004,11124,11231
"Cleveland County, North Carolina",97134,97519,97947
"Columbus County, North Carolina",56047,55819,55508
"Craven County, North Carolina",102492,102338,102139
"Cumberland County, North Carolina",330994,333430,335509
"Currituck County, North Carolina",26290,27016,27763
"Dare County, North Carolina",36199,36607,37009
"Davidson County, North Carolina",165180,166358,167609
"Davie County, North Carolina",42308,42563,42846
"Duplin County, North Carolina",58943,58991,58741
"Durham County, North Carolina",312153,316979,321488
"Edgecombe County, North Carolina",52756,51984,51472
"Forsyth County, North Carolina",375840,379216,382295
"Franklin County, North Carolina",66155,67625,69685
"Gaston County, North Carolina",219656,222630,224529
"Gates County, North Carolina",11514,11563,11562
"Graham County, North Carolina",8524,8461,8441
"Granville County, North Carolina",59372,59979,60443
"Greene County, North Carolina",20963,21106,21069
"Guilford County, North Carolina",528243,532607,537174
"Halifax County, North Carolina",51311,50634,50010
"Harnett County, North Carolina",132395,134336,135976
"Haywood County, North Carolina",61005,61890,62317
"Henderson County, North Carolina",115216,116500,117417
"Hertford County, North Carolina",23923,23878,23677
"Hoke County, North Carolina",54138,54695,55234
"Hyde County, North Carolina",5240,5026,4937
"Iredell County, North Carolina",175634,178332,181806
"Jackson County, North Carolina",43224,43600,43938
"Johnston County, North Carolina",196374,202692,209339
"Jones County, North Carolina",9573,9613,9419
"Lee County, North Carolina",60403,61208,61779
"Lenoir County, North Carolina",56622,55990,55949
"Lincoln County, North Carolina",82557,84092,86111
"McDowell County, North Carolina",45083,45465,45756
"Macon County, North Carolina",34581,35274,35858
"Madison County, North Carolina",21563,21665,21755
"Martin County, North Carolina",22763,22660,22440
"Mecklenburg County, North Carolina",1078128,1093750,1110356
"Mitchell County, North Carolina",14992,14996,14964
"Montgomery County, North Carolina",27269,27077,27173
"Moore County, North Carolina",97368,98805,100880
"Nash County, North Carolina",94019,94094,94298
"New Hanover County, North Carolina",228728,232256,234473
"Northampton County, North Carolina",19890,19698,19483
