Geographic Area,2017,2018,2019
"Osceola County, Florida",353623,368456,375751
"Palm Beach County, Florida",1470344,1482876,1496770
"Pasco County, Florida",525141,539090,553947
"Pinellas County, Florida",968341,973058,974996
"Polk County, Florida",685368,706597,724777
"Putnam County, Florida",73384,74043,74521
"St. Johns County, Florida",243693,253814,264672
"St. Lucie County, Florida",313163,320425,328297
"Santa Rosa County, Florida",174049,179295,184313
"Sarasota County, Florida",419680,426329,433742
"Seminole County, Florida",462801,468122,471826
"Sumter County, Florida",124995,128719,132420
"Suwannee County, Florida",44124,44179,44417
"Taylor County, Florida",21781,21545,21569
"Union County, Florida",15448,15328,15237
"Volusia County, Florida",537868,546101,553284
"Wakulla County, Florida",32050,32413,33739
"Walton County, Florida",68021,70732,74071
"Washington County, Florida",24546,24793,25473
"Appling County, Georgia",18438,18526,18386
"Atkinson County, Georgia",8182,8262,8165
"Bacon County, Georgia",11205,11132,11164
"Baker County, Georgia",3159,3086,3038
"Baldwin County, Georgia",44963,44893,44890
"Banks County, Georgia",18628,18972,19234
"Barrow County, Georgia",78899,80834,83240
"Bartow County, Georgia",105098,106378,107738
"Ben Hill County, Georgia",17037,16822,16700
"Berrien County, Georgia",19108,19266,19397
"Bibb County, Georgia",152840,152903,153159
"Bleckley County, Georgia",12764,12821,12873
"Brantley County, Georgia",18832,18985,19109
"Brooks County, Georgia",15617,15479,15457
"Bryan County, Georgia",36999,38059,39627
"Bulloch County, Georgia",75991,77242,79608
"Burke County, Georgia",22545,22439,22383
"Butts County, Georgia",24067,24192,24936
"Calhoun County, Georgia",6389,6353,6189
"Camden County, Georgia",53005,53651,54666
"Candler County, Georgia",10706,10827,10803
"Carroll County, Georgia",117390,117997,119992
"Catoosa County, Georgia",66495,67380,67580
"Charlton County, Georgia",12810,12919,13392
"Chatham County, Georgia",289309,289166,289430
"Chattahoochee County, Georgia",10205,10600,10907
"Chattooga County, Georgia",24746,24782,24789
"Cherokee County, Georgia",247763,253914,258773
"Clarke County, Georgia",126815,127268,128331
"Clay County, Georgia",2955,2884,2834
"Clayton County, Georgia",284184,289197,292256
"Clinch County, Georgia",6643,6603,6618
"Cobb County, Georgia",752649,756070,760141
"Coffee County, Georgia",42880,43055,43273
"Colquitt County, Georgia",45480,45455,45600
"Columbia County, Georgia",151529,154077,156714
"Cook County, Georgia",17213,17171,17270
"Coweta County, Georgia",143153,145998,148509
"Crawford County, Georgia",12263,12334,12404
"Crisp County, Georgia",22710,22617,22372
"Dade County, Georgia",16254,16227,16116
"Dawson County, Georgia",24406,25127,26108
"Decatur County, Georgia",26706,26573,26404
"DeKalb County, Georgia",751176,754906,759297
"Dodge County, Georgia",20749,20793,20605
"Dooly County, Georgia",13691,13709,13390
"Dougherty County, Georgia",89457,89200,87956
"Douglas County, Georgia",143376,145024,146343
"Early County, Georgia",10317,10286,10190
"Echols County, Georgia",3914,4000,4006
"Effingham County, Georgia",60086,62228,64296
"Elbert County, Georgia",19102,19095,19194
"Emanuel County, Georgia",22533,22607,22646
