,EVENT_ID,STATE
1302,862596,TEXAS
1304,862597,TEXAS
1305,862598,TEXAS
1306,796422,OHIO
1307,796423,OHIO
1308,862795,TEXAS
1310,796424,OHIO
1311,861590,TEXAS
1312,861591,TEXAS
1313,819066,ATLANTIC SOUTH
1315,861592,TEXAS
1316,861593,Texas
1317,823537,Louisiana
1318,862286,Texas
1319,862588,Texas
1320,862589,TEXAS
1321,796425,OHIO
1323,819067,ATLANTIC SOUTH
1324,862590,TEXAS
1325,823536,LOUISIANA
1326,823538,LOUISIANA
1327,823539,Louisiana
1328,862593,Texas
1329,862594,Texas
1336,862837,Texas
1337,862852,TEXAS
1338,861586,TEXAS
1339,863138,TEXAS
1341,862804,TEXAS
1342,849664,MISSOURI
1343,849665,ILLINOIS
1344,849666,ILLINOIS
1345,849667,Illinois
1346,849669,Missouri
1347,849670,Missouri
1348,849671,MISSOURI
1349,849925,MISSOURI
1350,849926,MISSOURI
1357,845905,OHIO
1358,845906,OHIO
1359,834971,TEXAS
1360,834972,TEXAS
1361,834973,TEXAS
1362,834975,TEXAS
1363,834980,TEXAS
1369,817902,WEST VIRGINIA
1370,849927,ILLINOIS
1371,849928,ILLINOIS
1372,849929,MISSOURI
1373,849930,MISSOURI
1374,849931,MISSOURI
1375,849933,ILLINOIS
1378,826733,FLORIDA
1379,814068,WEST VIRGINIA
1380,817793,WEST VIRGINIA
1381,817891,WEST VIRGINIA
1385,851011,MISSOURI
1390,820143,TEXAS
1391,820144,TEXAS
1396,820145,TEXAS
1397,836763,South Dakota
1398,836765,SOUTH DAKOTA
1399,836766,SOUTH DAKOTA
1400,836767,SOUTH DAKOTA
1401,836768,SOUTH DAKOTA
1402,836769,SOUTH DAKOTA
1403,836771,SOUTH DAKOTA
1404,836772,SOUTH DAKOTA
1405,836773,SOUTH DAKOTA
1406,836774,SOUTH DAKOTA
1407,839473,SOUTH DAKOTA
1408,839474,SOUTH DAKOTA
1409,818193,OHIO
1410,812964,WEST VIRGINIA
1411,817905,WEST VIRGINIA
1418,826794,SOUTH DAKOTA
1419,826861,SOUTH DAKOTA
1420,818194,OHIO
1421,826734,Florida
1422,826735,Florida
1423,826736,FLORIDA
1424,826737,Florida
1425,826762,FLORIDA
1426,845480,ATLANTIC NORTH
1427,847459,ATLANTIC NORTH
1428,847471,ATLANTIC NORTH
1429,847518,MARYLAND
1430,847524,MARYLAND
1431,847530,MARYLAND
1432,847569,ATLANTIC NORTH
1433,847583,ATLANTIC NORTH
1434,847590,ATLANTIC NORTH
1435,817884,WEST VIRGINIA
1436,817886,WEST VIRGINIA
1437,817888,WEST VIRGINIA
1441,817906,WEST VIRGINIA
1442,817907,WEST VIRGINIA
1445,847606,ATLANTIC NORTH
1446,847607,ATLANTIC NORTH
1447,847608,VIRGINIA
1448,847609,VIRGINIA
1449,847655,VIRGINIA
1450,847656,VIRGINIA
1451,847657,VIRGINIA
1452,847658,VIRGINIA
1453,847660,VIRGINIA
1454,847661,VIRGINIA
1455,847662,VIRGINIA
1456,847663,VIRGINIA
1457,847664,VIRGINIA
1458,847665,VIRGINIA
1459,847666,VIRGINIA
1460,812957,WEST VIRGINIA
1461,812960,WEST VIRGINIA
1462,817889,WEST VIRGINIA
1463,817892,WEST VIRGINIA
1464,817893,WEST VIRGINIA
1465,817894,WEST VIRGINIA
1468,838257,KANSAS
1470,838260,KANSAS
1471,813595,WEST VIRGINIA
1472,817895,WEST VIRGINIA
1475,846571,NORTH CAROLINA
1476,817896,WEST VIRGINIA
1477,817897,WEST VIRGINIA
1478,817899,WEST VIRGINIA
1479,817900,West Virginia
1480,817901,West Virginia
1482,817880,WEST VIRGINIA
1493,853218,TEXAS
1494,834953,TEXAS
1495,817903,WEST VIRGINIA
1496,817963,WEST VIRGINIA
1497,834957,TEXAS
1498,834962,TEXAS
1499,834965,TEXAS
1500,834966,TEXAS
1501,834968,TEXAS
1502,834970,TEXAS
1503,817968,WEST VIRGINIA
1504,818205,WEST VIRGINIA
1510,838272,KANSAS
1523,818289,ATLANTIC SOUTH
1524,812965,WEST VIRGINIA
1526,843721,MISSOURI
1527,843722,MISSOURI
1528,843724,ILLINOIS
1529,843726,ILLINOIS
1534,847601,ATLANTIC NORTH
1535,843739,ILLINOIS
1536,843750,MISSOURI
1537,843761,Missouri
1538,843769,Missouri
1539,843810,Illinois
1540,849663,MISSOURI
1541,817881,WEST VIRGINIA
1542,817882,WEST VIRGINIA
1543,817883,West Virginia
1558,847594,Virginia
1559,813614,WEST VIRGINIA
1560,813759,WEST VIRGINIA
1561,814059,WEST VIRGINIA
1563,817890,WEST VIRGINIA
1565,818527,PENNSYLVANIA
1566,818528,PENNSYLVANIA
1567,825345,PENNSYLVANIA
1568,825346,PENNSYLVANIA
1569,818510,PENNSYLVANIA
1570,818534,PENNSYLVANIA
1571,807768,MARYLAND
1572,807769,NEW JERSEY
1573,812884,ALABAMA
1574,812887,ALABAMA
1577,812890,ALABAMA
1581,843685,KANSAS
1584,844336,KANSAS
1585,844337,KANSAS
1586,844338,KANSAS
1587,845650,KANSAS
1588,845653,KANSAS
1589,835166,TEXAS
1590,835167,TEXAS
1591,807796,NEW JERSEY
1592,807795,NEW JERSEY
1593,807797,NEW JERSEY
1594,811689,DELAWARE
1595,811690,PENNSYLVANIA
1596,811691,PENNSYLVANIA
1597,836882,FLORIDA
1598,836886,FLORIDA
1599,836888,FLORIDA
1600,826763,FLORIDA
1601,826764,FLORIDA
1602,826765,FLORIDA
1604,819084,ATLANTIC SOUTH
1606,825297,PENNSYLVANIA
1608,812899,ALABAMA
1609,812900,ALABAMA
1610,812901,ALABAMA
1611,812902,ALABAMA
1612,843684,KANSAS
1613,811686,DELAWARE
1614,835170,TEXAS
1615,835171,Texas
1616,811687,DELAWARE
1617,811688,DELAWARE
1618,826766,FLORIDA
1619,826767,FLORIDA
1620,826768,FLORIDA
1621,806182,ALABAMA
1624,819068,ATLANTIC SOUTH
1626,818530,PENNSYLVANIA
1628,818542,PENNSYLVANIA
1629,818545,PENNSYLVANIA
1630,818546,PENNSYLVANIA
1635,811692,PENNSYLVANIA
1636,811693,PENNSYLVANIA
1637,811694,PENNSYLVANIA
1638,811695,PENNSYLVANIA
1640,826771,FLORIDA
1641,826770,FLORIDA
1642,826772,FLORIDA
1643,826773,FLORIDA
1644,826774,FLORIDA
1645,826775,FLORIDA
1647,836893,Florida
1648,837331,Florida
1649,837333,Florida
1650,837334,FLORIDA
1651,837335,FLORIDA
1652,837336,FLORIDA
1653,837337,FLORIDA
1654,837338,FLORIDA
1655,835168,TEXAS
1658,818532,PENNSYLVANIA
1659,818536,PENNSYLVANIA
1660,818548,PENNSYLVANIA
1661,818550,PENNSYLVANIA
1662,819089,ATLANTIC SOUTH
1663,811699,PENNSYLVANIA
1664,811700,PENNSYLVANIA
1665,811701,PENNSYLVANIA
1669,818469,PENNSYLVANIA
1670,824355,PENNSYLVANIA
1671,818552,PENNSYLVANIA
1672,824357,PENNSYLVANIA
1677,818436,PENNSYLVANIA
