,EVENT_ID,COUNTY
1169,805121,RIVERSIDE
1182,805122,ORANGE
1213,805123,ORANGE
1237,794543,Manatee
1238,794544,Hillsborough
1239,794545,Hillsborough
1240,794546,Pinellas
1245,794547,Manatee
1246,795291,ALACHUA
1251,795292,PUTNAM
1252,795297,FLAGLER
1253,795298,FLAGLER
1259,823525,DE SOTO
1260,823528,BIENVILLE
1261,823526,DE SOTO
1270,823529,BIENVILLE
1271,823530,RED RIVER
1273,823531,RED RIVER
1276,819063,Brevard
1277,823527,DE SOTO
1280,796427,HANCOCK
1281,823533,BIENVILLE
1282,826730,NASSAU
1284,819062,St. Lucie
1285,819065,Brevard
1286,823532,RED RIVER
1287,823534,WINN
1288,819064,Martin
1289,826731,DUVAL
1290,826732,ALACHUA
1291,823524,CADDO
1292,861587,TARRANT
1293,861588,TARRANT
1294,861589,TARRANT
1295,862595,VAN ZANDT
1296,861576,LAMAR
1298,863136,HOPKINS
1300,823541,GRANT
1302,862596,COMANCHE
1304,862597,COMANCHE
1305,862598,COMANCHE
1306,796422,ERIE
1307,796423,LAKE
1308,862795,ERATH
1310,796424,TRUMBULL
1311,861590,TARRANT
1312,861591,DALLAS
1313,819066,Brevard
1315,861592,HAMILTON
1316,861593,DALLAS
1317,823537,WINN
1318,862286,HOOD
1319,862588,TARRANT
1320,862589,GRAYSON
1321,796425,MARION
1323,819067,Brevard
1324,862590,DENTON
1325,823536,NATCHITOCHES
1326,823538,NATCHITOCHES
1327,823539,NATCHITOCHES
1328,862593,ELLIS
1329,862594,COLLIN
1336,862837,COLLIN
1337,862852,COLLIN
1338,861586,TARRANT
1339,863138,COLLIN
1341,862804,COLLIN
1342,849664,RALLS
1343,849665,BROWN
1344,849666,PIKE
1345,849667,PIKE
1346,849669,LINCOLN
1347,849670,ST. CHARLES
1348,849671,ST. CHARLES
1349,849925,ST. LOUIS (C)
1350,849926,FRANKLIN
1357,845905,HENRY
1358,845906,HENRY
1359,834971,KERR
1360,834972,KERR
1361,834973,KERR
1362,834975,BANDERA
1363,834980,KENDALL
1369,817902,CALHOUN
1370,849927,ST. CLAIR
1371,849928,MONROE
1372,849929,JEFFERSON
1373,849930,OSAGE
1374,849931,FRANKLIN
1375,849933,CLINTON
1378,826733,SUWANNEE
1379,814068,LINCOLN
1380,817793,KANAWHA
1381,817891,RITCHIE
1385,851011,ST. LOUIS (C)
1390,820143,COLORADO
1391,820144,WHARTON
1396,820145,FORT BEND
1397,836763,HYDE
1398,836765,FAULK
